Institute,Maximum Programs,Maximum Ratio
Calcutta University ,"UG [3 Years
Program(s)]",47.26923076923077
Amrita Vishwa Vidyapeetham ,"PG [1 Year
Program(s)]",14.75
Alagappa University ,"PG [3 Year
Program(s)]",6.423076923076923
Tezpur University ,"PG [1 Year
Program(s)]",4.2
Sri Ramachandra Institute of Higher Education and Research ,"PG [2 Year
Program(s)]",3.7549668874172184
King George`s Medical University ,"UG [5 Years
Program(s)]",3.669616519174041
Sathyabama Institute of Science and Technology ,"PG [3 Year
Program(s)]",3.6666666666666665
Kerala University ,"PG [1 Year
Program(s)]",3.472972972972973
Datta Meghe Institute of Medical Sciences ,"UG [4 Years
Program(s)]",3.4294871794871793
Calicut University ,"PG [2 Year
Program(s)]",3.230964467005076
Gauhati University ,"PG [1 Year
Program(s)]",3.0
Mahatma Gandhi University ,"PG [1 Year
Program(s)]",2.8333333333333335
Guru Nanak Dev University ,"PG [2 Year
Program(s)]",2.771891891891892
Saveetha Institute of Medical and Technical Sciences ,"PG [1 Year
Program(s)]",2.75
Dr. D. Y. Patil Vidyapeeth ,PG-Integrated,2.657142857142857
Shanmugha Arts Science Technology & Research Academy ,"UG [3 Years
Program(s)]",2.625
Cochin University of Science and Technology ,"PG [1 Year
Program(s)]",2.5454545454545454
Mysore University ,"PG [3 Year
Program(s)]",2.2972972972972974
Jamia Hamdard ,"UG [3 Years
Program(s)]",2.264367816091954
Manipal Academy of Higher Education ,"PG [6 Year
Program(s)]",2.1607142857142856
Anna University ,"UG [5 Years
Program(s)]",2.1193181818181817
Savitribai Phule Pune University ,PG-Integrated,2.0416666666666665
"Andhra University, Visakhapatnam ","PG [6 Year
Program(s)]",2.0
Indian Institute of Science Education & Research Kolkata ,"PG [2 Year
Program(s)]",2.0
North Eastern Hill University ,"PG [2 Year
Program(s)]",1.9535911602209945
Guru Gobind Singh Indraprastha University ,"PG [2 Year
Program(s)]",1.9472049689440993
Sri Sivasubramaniya Nadar College of Engineering ,"PG [2 Year
Program(s)]",1.875
Siksha `O` Anusandhan ,PG-Integrated,1.8
Bharathidasan University ,"PG [3 Year
Program(s)]",1.7096774193548387
Lovely Professional University ,"PG [1 Year
Program(s)]",1.6923076923076923
Symbiosis International ,"PG [1 Year
Program(s)]",1.6923076923076923
PSG College of Technology ,"UG [3 Years
Program(s)]",1.6371681415929205
Bharath Institute of Higher Education & Research ,"PG [2 Year
Program(s)]",1.6280487804878048
JSS Academy of Higher Education and Research ,"PG [6 Year
Program(s)]",1.5714285714285714
Bharathiar University ,"PG [2 Year
Program(s)]",1.5420841683366733
Panjab University ,"PG [3 Year
Program(s)]",1.5025125628140703
Kalasalingam Academy of Research and Higher Education ,"UG [4 Years
Program(s)]",1.501088139281828
Indian Institute of Technology Madras ,PG-Integrated,1.5
University of Madras ,"PG [3 Year
Program(s)]",1.4838709677419355
Homi Bhabha National Institute ,"PG [3 Year
Program(s)]",1.46875
S.R.M. Institute of Science and Technology ,"UG [5 Years
Program(s)]",1.4619422572178478
Amity University ,"UG [4 Years
Program(s)]",1.4558547276142768
Tata Institute of Social Sciences ,"UG [3 Years
Program(s)]",1.4550561797752808
Kalinga Institute of Industrial Technology ,"UG [3 Years
Program(s)]",1.3418565869927737
University of Delhi ,"PG [2 Year
Program(s)]",1.2889627426972188
SVKM`s Narsee Monjee Institute of Management Studies ,"PG [3 Year
Program(s)]",1.2602739726027397
Madurai Kamaraj University ,"PG [2 Year
Program(s)]",1.2055045871559633
Chandigarh University ,"PG [6 Year
Program(s)]",1.1666666666666667
Visva Bharati ,"UG [3 Years
Program(s)]",1.153324287652646
Visvesvaraya National Institute of Technology ,"UG [5 Years
Program(s)]",1.103225806451613
Jadavpur University ,"UG [3 Years
Program(s)]",1.088368580060423
Jawaharlal Nehru University ,"PG [2 Year
Program(s)]",1.0770328102710414
Pondicherry University ,"PG [2 Year
Program(s)]",1.0483091787439613
University of Kashmir ,"UG [4 Years
Program(s)]",1.0375234521575984
Jamia Millia Islamia ,"PG [2 Year
Program(s)]",1.003125
Osmania University ,"PG [3 Year
Program(s)]",0.9830508474576272
Vellore Institute of Technology ,"UG [5 Years
Program(s)]",0.9803370786516854
Thapar Institute of Engineering and Technology ,"PG [2 Year
Program(s)]",0.9396551724137931
University of Hyderabad ,PG-Integrated,0.8988970588235294
Banaras Hindu University ,"PG [2 Year
Program(s)]",0.8674551386623165
Sri Venkateswara University ,"PG [2 Year
Program(s)]",0.8344680851063829
Malaviya National Institute of Technology ,"UG [5 Years
Program(s)]",0.8271604938271605
Aligarh Muslim University ,"PG [3 Year
Program(s)]",0.8077803203661327
Institute of Chemical Technology ,"PG [2 Year
Program(s)]",0.8068181818181818
Koneru Lakshmaiah Education Foundation University (K L College of Engineering) ,"PG [2 Year
Program(s)]",0.756926952141058
Shiv Nadar University ,"PG [2 Year
Program(s)]",0.6956521739130435
Delhi Technological University ,"UG [3 Years
Program(s)]",0.6540404040404041
National Institute of Technology Tiruchirappalli ,"UG [5 Years
Program(s)]",0.644927536231884
Indian Institute of Technology Mandi ,PG-Integrated,0.6153846153846154
Indian Institute of Engineering Science and Technology ,"UG [5 Years
Program(s)]",0.603448275862069
Indian Institute of Technology Kharagpur ,"UG [3 Years
Program(s)]",0.5512820512820513
Indian Institute of Technology Gandhinagar ,"PG [2 Year
Program(s)]",0.5337078651685393
Mumbai University ,"UG [3 Years
Program(s)]",0.502092050209205
National Institute of Technology Durgapur ,PG-Integrated,0.5
Indian Institute of Science Education & Research Bhopal ,"UG [5 Years
Program(s)]",0.4608567208271787
Motilal Nehru National Institute of Technology ,"PG [3 Year
Program(s)]",0.45652173913043476
National Institute of Technology Warangal ,"PG [3 Year
Program(s)]",0.43859649122807015
Birla Institute of Technology & Science -Pilani ,"PG [2 Year
Program(s)]",0.4247211895910781
National Institute of Technology Karnataka ,"PG [2 Year
Program(s)]",0.4164785553047404
National Institute of Technology Rourkela ,"UG [5 Years
Program(s)]",0.3972602739726027
Dr. B. R. Ambedkar National Institute of Technology ,"PG [2 Year
Program(s)]",0.3649025069637883
Indian Institute of Technology (Indian School of Mines) ,"PG [3 Year
Program(s)]",0.35609756097560974
Indian Institute of Technology Bombay ,PG-Integrated,0.33076923076923076
National Institute of Technology Silchar ,"PG [2 Year
Program(s)]",0.3248259860788863
Indian Institute of Science ,"PG [3 Year
Program(s)]",0.3076923076923077
Indian Institute of Technology Roorkee ,"UG [5 Years
Program(s)]",0.2894736842105263
Indian Institute of Technology Hyderabad ,"PG [2 Year
Program(s)]",0.2809278350515464
Indian Institute of Technology Ropar ,"PG [2 Year
Program(s)]",0.27936507936507937
Indian Institute of Technology Bhubaneswar ,"PG [2 Year
Program(s)]",0.2603092783505155
Indian Institute of Technology Guwahati ,"PG [2 Year
Program(s)]",0.2504424778761062
Sardar Vallabhbhai National Institute of Technology ,PG-Integrated,0.22644927536231885
Indian Institute of Technology Patna ,"PG [2 Year
Program(s)]",0.22413793103448276
Indian Institute of Technology (Banaras Hindu University) Varanasi ,"PG [2 Year
Program(s)]",0.199442119944212
Indian Institute of Technology Delhi ,"PG [2 Year
Program(s)]",0.19325616507297433
Indian Institute of Technology Indore ,"PG [2 Year
Program(s)]",0.19230769230769232
Indian Institute of Technology Kanpur ,"PG [2 Year
Program(s)]",0.16138855054811205
