Institute,Programs
University of Delhi ,"PG [1 Year
Program(s)]"
Kalinga Institute of Industrial Technology ,"PG [1 Year
Program(s)]"
Calicut University ,"PG [1 Year
Program(s)]"
Lovely Professional University ,"PG [1 Year
Program(s)]"
Mysore University ,"PG [1 Year
Program(s)]"
Madurai Kamaraj University ,"PG [1 Year
Program(s)]"
Panjab University ,"PG [1 Year
Program(s)]"
Visva Bharati ,"PG [1 Year
Program(s)]"
Cochin University of Science and Technology ,"PG [1 Year
Program(s)]"
Mahatma Gandhi University ,"PG [1 Year
Program(s)]"
Mumbai University ,"PG [1 Year
Program(s)]"
Homi Bhabha National Institute ,"PG [1 Year
Program(s)]"
Banasthali Vidyapith ,"PG [1 Year
Program(s)]"
Tata Institute of Social Sciences ,"PG [1 Year
Program(s)]"
Amrita Vishwa Vidyapeetham ,"PG [1 Year
Program(s)]"
Saveetha Institute of Medical and Technical Sciences ,"PG [1 Year
Program(s)]"
Tezpur University ,"PG [1 Year
Program(s)]"
Savitribai Phule Pune University ,"PG [1 Year
Program(s)]"
Aligarh Muslim University ,"PG [1 Year
Program(s)]"
Chandigarh University ,"PG [1 Year
Program(s)]"
Amity University ,"PG [1 Year
Program(s)]"
Siksha `O` Anusandhan ,"PG [1 Year
Program(s)]"
Manipal Academy of Higher Education ,"PG [1 Year
Program(s)]"
Guru Gobind Singh Indraprastha University ,"PG [1 Year
Program(s)]"
Alagappa University ,"PG [1 Year
Program(s)]"
Kerala University ,"PG [1 Year
Program(s)]"
Gauhati University ,"PG [1 Year
Program(s)]"
Calcutta University ,"PG [1 Year
Program(s)]"
Symbiosis International ,"PG [1 Year
Program(s)]"
Amrita Vishwa Vidyapeetham ,"PG [6 Year
Program(s)]"
S.R.M. Institute of Science and Technology ,"PG [6 Year
Program(s)]"
Chandigarh University ,"PG [6 Year
Program(s)]"
"Andhra University, Visakhapatnam ","PG [6 Year
Program(s)]"
JSS Academy of Higher Education and Research ,"PG [6 Year
Program(s)]"
Bharathidasan University ,"PG [6 Year
Program(s)]"
Manipal Academy of Higher Education ,"PG [6 Year
Program(s)]"
Indian Institute of Technology Kharagpur ,"PG [6 Year
Program(s)]"
Indian Institute of Technology Mandi ,"PG [6 Year
Program(s)]"
Sri Ramachandra Institute of Higher Education and Research ,"PG [6 Year
Program(s)]"
Sri Ramachandra Institute of Higher Education and Research ,"UG [6 Year
Program(s)]"
